SO2,CO,PM10,No2,O3,PM2.5
5,23,49,78,35,85
8,22,51,68,33,89
57,20,42,37,11,54
2,18,63,72,22,114
2,18,46,79,32,76
5,18,38,57,44,84
5,18,32,51,50,63
2,17,54,7,43,23
8,17,52,82,19,110
8,17,48,71,24,83
5,17,36,60,44,64
5,16,58,82,14,98
2,16,50,82,31,94
2,16,50,64,35,81
2,16,41,74,37,72
5,16,32,67,24,60
2,15,61,68,27,121
5,15,57,64,16,106
5,15,55,77,29,92
2,15,55,77,27,94
12,15,49,67,34,91
8,15,45,77,28,80
2,15,40,60,51,86
2,15,37,58,43,78
5,15,31,67,25,63
2,15,29,69,19,57
10,14,59,70,16,111
5,14,58,72,8,101
62,14,53,38,25,59
5,14,51,75,19,92
5,14,48,79,5,88
2,14,45,69,36,72
2,14,44,76,31,99
5,14,43,72,38,76
8,14,42,62,30,72
5,14,40,70,32,75
10,14,40,64,24,71
8,14,35,70,21,61
5,14,34,65,36,65
10,14,29,67,26,58
5,14,29,67,25,60
2,14,29,67,21,54
10,12,74,60,11,122
10,12,59,72,9,107
5,12,54,72,12,94
10,12,51,37,44,83
2,12,48,74,21,100
12,12,43,64,34,77
5,12,40,68,35,74
2,12,39,62,33,55
8,12,37,69,37,69
2,12,32,60,34,55
8,12,32,59,45,66
8,12,28,56,39,61
5,12,27,47,19,69
20,11,73,40,71,149
8,11,67,62,9,111
8,11,48,64,34,79
5,11,47,74,33,81
8,11,44,55,39,87
2,11,43,67,32,74
18,11,42,58,38,73
2,11,41,72,36,82
5,11,40,65,31,69
5,11,39,52,67,86
5,11,37,63,24,73
8,11,33,53,44,71
20,11,31,66,27,62
2,11,26,73,28,60
2,11,24,63,29,52
8,10,77,68,54,135
2,10,57,65,12,102
8,10,56,67,7,95
5,10,56,62,40,91
2,10,56,55,18,121
5,10,54,67,42,97
5,10,46,65,29,75
5,10,45,70,41,84
8,10,45,64,31,83
2,10,44,101,30,93
5,10,43,67,29,80
5,10,43,65,44,77
28,10,43,42,31,43
5,10,42,30,39,45
5,10,39,62,35,70
12,10,39,58,21,74
5,10,38,74,25,76
2,10,38,64,49,73
5,10,38,62,30,58
5,10,37,66,41,70
2,10,37,58,35,53
12,10,36,69,29,67
18,10,36,66,23,68
2,10,34,70,31,53
5,10,34,64,35,63
18,10,33,67,29,66
5,10,32,64,41,56
2,10,32,58,25,54
5,10,32,54,40,73
8,10,31,59,46,70
10,10,31,45,50,78
5,10,30,65,50,59
8,10,30,60,21,54
2,10,29,62,39,46
5,10,29,60,20,62
2,10,27,59,36,57
8,10,25,62,25,57
5,10,25,60,10,60
5,10,25,55,18,55
2,10,19,56,51,33
2,10,18,64,24,42
5,10,18,54,24,40
5,9,85,66,50,144
18,9,76,50,115,126
22,9,75,57,50,128
8,9,73,67,40,128
2,9,70,64,17,127
30,9,68,70,54,117
5,9,66,60,42,119
5,9,64,63,36,69
15,9,63,67,9,93
5,9,63,64,11,106
5,9,62,55,112,108
50,9,61,64,46,86
5,9,60,64,90,106
15,9,60,61,61,90
38,9,59,42,23,40
5,9,57,60,50,88
5,9,56,63,29,57
2,9,54,72,37,76
5,9,53,64,34,106
5,9,52,69,45,80
5,9,51,77,44,74
8,9,50,60,46,92
10,9,49,69,14,102
10,9,49,62,74,84
8,9,49,57,44,94
10,9,49,28,87,93
5,9,48,62,45,73
2,9,48,60,44,86
2,9,48,60,36,54
10,9,48,18,54,105
32,9,47,57,47,91
5,9,46,64,44,70
5,9,46,64,31,67
5,9,46,60,31,83
5,9,45,67,64,55
5,9,44,56,41,71
2,9,44,52,44,83
5,9,43,67,33,69
2,9,43,62,44,83
10,9,43,51,44,72
8,9,42,56,39,85
5,9,41,68,32,70
2,9,41,62,49,76
5,9,41,50,44,81
5,9,40,57,71,60
8,9,40,57,11,77
2,9,40,55,41,81
10,9,39,56,30,67
10,9,38,67,32,69
2,9,37,66,36,64
10,9,37,59,46,67
15,9,36,59,39,66
8,9,36,57,27,50
5,9,36,56,31,61
5,9,35,64,44,75
10,9,35,61,22,66
2,9,35,60,34,53
5,9,35,59,44,75
10,9,34,60,33,56
8,9,34,60,20,61
2,9,33,68,30,58
2,9,33,67,28,54
8,9,33,60,71,71
5,9,33,60,36,71
8,9,33,57,38,70
12,9,33,53,132,53
2,9,32,68,25,48
10,9,32,63,41,65
5,9,32,58,31,54
5,9,32,55,44,72
8,9,32,55,40,65
2,9,31,66,31,83
5,9,31,52,40,67
15,9,30,63,32,60
5,9,29,64,45,55
2,9,28,64,44,54
5,9,28,62,43,44
12,9,28,62,30,59
2,9,27,60,42,42
2,9,27,60,34,44
8,9,27,59,28,49
53,9,27,56,22,47
2,9,26,61,12,63
15,9,26,58,22,49
2,9,26,57,24,53
5,9,25,62,9,58
2,9,25,61,44,53
2,9,25,61,16,59
5,9,25,52,37,61
5,9,24,64,15,67
5,9,24,59,25,61
2,9,24,48,50,63
2,9,22,63,39,52
0,9,22,60,36,54
12,9,22,52,35,47
5,9,21,64,40,49
2,9,21,58,44,43
5,9,20,65,42,40
8,9,20,60,41,58
5,9,20,56,51,52
10,9,20,52,19,48
22,9,19,70,37,45
8,9,19,66,18,34
5,9,19,62,22,32
2,9,19,61,21,31
2,9,19,48,58,35
2,9,18,64,32,33
5,9,18,62,40,41
2,9,18,53,44,48
0,9,17,43,9,35
2,9,16,59,20,41
30,9,16,37,18,27
5,8,104,20,104,165
8,8,90,20,115,156
5,8,82,45,90,146
25,8,80,47,159,123
8,8,74,12,61,154
5,8,73,56,115,113
10,8,72,73,42,145
18,8,71,60,54,113
2,8,71,37,7,118
38,8,70,69,150,123
5,8,70,67,7,120
8,8,70,50,54,97
5,8,69,60,64,114
8,8,67,63,37,98
8,8,66,55,129,105
28,8,66,55,67,117
10,8,64,68,47,95
5,8,62,58,48,87
10,8,62,51,61,110
8,8,61,65,47,108
8,8,61,56,100,107
18,8,60,57,77,105
5,8,59,67,12,104
12,8,59,32,49,77
2,8,58,65,46,81
18,8,57,64,80,71
8,8,57,60,44,90
5,8,56,57,42,81
8,8,55,69,43,111
8,8,54,60,51,81
5,8,54,59,74,97
2,8,54,57,15,102
5,8,54,50,84,103
8,8,53,65,44,102
10,8,53,62,54,78
8,8,53,61,49,96
5,8,53,60,39,89
5,8,53,57,49,99
22,8,53,51,77,100
5,8,52,67,74,63
18,8,52,60,51,90
8,8,50,67,44,71
2,8,50,62,51,88
18,8,50,47,67,82
10,8,49,67,12,87
5,8,49,65,41,80
5,8,49,60,67,88
5,8,49,56,39,71
5,8,48,72,41,83
2,8,48,68,44,93
5,8,48,67,87,66
8,8,48,60,51,92
2,8,47,72,36,76
5,8,47,62,61,81
5,8,47,57,16,90
8,8,47,52,41,82
5,8,46,64,84,55
0,8,46,62,42,88
5,8,45,68,90,63
5,8,45,66,41,91
5,8,45,47,45,86
28,8,44,62,64,70
5,8,44,56,37,74
2,8,44,51,44,83
8,8,43,69,47,79
5,8,43,62,35,77
8,8,43,56,42,76
10,8,43,55,40,83
5,8,42,74,80,58
2,8,42,63,11,79
5,8,42,60,64,79
12,8,42,60,44,79
10,8,42,57,77,64
8,8,42,54,43,79
10,8,41,60,64,70
8,8,41,57,40,79
2,8,41,57,18,90
12,8,41,56,64,62
8,8,41,54,84,73
12,8,41,52,43,83
5,8,41,52,42,77
15,8,41,48,54,65
2,8,41,47,25,64
5,8,40,59,31,79
5,8,40,58,43,79
8,8,40,51,115,66
53,8,40,48,44,49
8,8,39,62,35,82
5,8,38,64,28,53
5,8,38,60,30,77
2,8,38,58,45,91
5,8,38,57,12,75
8,8,38,52,36,70
5,8,38,52,15,106
20,8,38,43,67,66
8,8,37,66,32,78
2,8,37,63,51,74
2,8,37,63,33,61
5,8,37,62,27,70
5,8,37,52,42,63
5,8,36,66,38,79
12,8,36,64,28,60
2,8,36,62,58,76
5,8,36,62,37,74
10,8,36,60,39,68
8,8,36,55,61,58
5,8,36,55,41,75
5,8,36,55,23,67
2,8,36,52,32,61
5,8,36,52,23,73
5,8,36,48,40,53
8,8,35,64,33,66
5,8,35,57,35,58
5,8,35,53,49,57
10,8,35,47,80,74
2,8,35,47,42,85
5,8,34,61,45,73
5,8,34,60,47,67
15,8,34,60,34,62
5,8,34,57,64,65
0,8,34,55,39,67
18,8,34,40,35,62
5,8,33,64,44,55
12,8,32,67,37,58
5,8,32,55,48,63
5,8,31,59,58,61
5,8,31,56,44,65
5,8,31,48,19,72
2,8,30,69,38,54
2,8,30,60,22,71
2,8,30,59,30,55
2,8,30,55,43,60
2,8,30,52,39,64
5,8,29,63,48,62
5,8,29,59,43,43
12,8,29,55,46,49
2,8,29,52,42,53
32,8,29,37,50,67
2,8,28,61,37,49
2,8,28,60,31,59
8,8,28,53,30,53
8,8,27,64,42,46
5,8,27,63,50,55
2,8,27,57,35,61
2,8,27,37,41,60
2,8,27,35,39,66
5,8,26,32,45,65
5,8,25,62,44,40
5,8,25,60,40,48
15,8,24,64,24,55
8,8,24,62,30,48
5,8,23,64,44,41
8,8,23,60,27,52
5,8,23,59,23,47
2,8,23,59,21,34
8,8,23,58,49,41
2,8,23,57,43,46
15,8,22,67,19,47
5,8,22,60,42,50
5,8,22,60,29,45
2,8,22,57,37,37
2,8,22,55,19,46
2,8,22,53,24,49
2,8,22,50,34,38
12,8,22,50,33,51
8,8,21,64,20,37
8,8,21,61,27,46
2,8,21,58,43,61
5,8,21,57,40,41
2,8,21,57,31,33
2,8,21,57,19,44
5,8,21,47,44,34
2,8,20,61,43,33
2,8,20,55,67,28
2,8,20,53,36,28
2,8,20,52,49,40
2,8,20,52,32,44
12,8,20,17,20,19
10,8,19,67,20,44
2,8,19,55,47,30
2,8,19,54,36,30
5,8,19,52,28,30
5,8,19,47,28,40
0,8,19,47,13,28
2,8,19,45,6,35
2,8,18,60,21,50
2,8,18,57,38,36
5,8,18,57,20,34
5,8,18,57,19,42
5,8,18,55,17,33
2,8,18,50,19,29
2,8,18,47,31,31
5,8,17,62,6,51
2,8,16,56,24,26
2,8,16,55,40,24
5,8,16,51,17,33
2,8,15,57,29,32
2,8,14,58,33,33
5,8,14,33,32,21
0,8,13,51,27,23
25,8,12,32,19,19
2,8,11,60,38,21
5,8,9,56,23,15
12,7,97,18,50,169
8,7,90,58,7,129
10,7,88,51,80,156
12,7,88,40,80,139
18,7,85,47,51,149
5,7,83,32,54,126
8,7,82,57,42,89
8,7,81,61,74,137
8,7,81,56,49,112
45,7,81,54,87,132
18,7,81,35,51,150
5,7,81,20,50,146
32,7,80,61,67,132
2,7,80,61,20,124
5,7,80,47,90,101
8,7,78,59,84,144
12,7,78,27,67,106
12,7,77,64,118,100
25,7,77,37,67,129
5,7,77,32,74,121
8,7,76,48,49,128
5,7,75,33,54,139
5,7,74,58,122,96
12,7,74,57,37,122
5,7,74,54,101,78
25,7,74,51,48,111
5,7,74,48,80,140
5,7,74,40,64,127
10,7,73,55,97,113
30,7,73,52,112,135
20,7,73,51,166,133
28,7,73,48,166,119
5,7,73,40,41,135
20,7,73,37,80,86
5,7,72,58,46,132
18,7,72,45,47,107
28,7,72,42,164,134
15,7,72,32,129,128
22,7,71,55,51,108
5,7,70,54,12,106
28,7,70,48,80,121
5,7,70,35,48,133
2,7,69,60,9,87
35,7,69,54,54,106
25,7,69,53,58,109
20,7,69,52,77,116
8,7,69,52,71,152
5,7,69,51,118,119
20,7,69,35,61,128
15,7,68,57,97,118
20,7,68,54,46,105
5,7,68,45,90,121
5,7,68,27,64,149
15,7,67,52,51,90
8,7,67,47,77,128
10,7,67,33,42,113
8,7,67,30,47,125
15,7,66,63,47,98
10,7,66,51,80,86
5,7,66,51,61,91
5,7,66,47,54,106
2,7,66,45,64,140
5,7,66,45,47,116
18,7,66,37,77,106
5,7,66,30,51,116
8,7,65,58,100,119
2,7,65,55,25,129
8,7,65,47,61,119
2,7,65,42,9,109
8,7,65,40,54,95
12,7,64,64,54,108
8,7,64,56,11,113
8,7,64,55,46,92
5,7,64,53,15,105
5,7,64,43,43,102
5,7,64,18,71,131
5,7,63,60,84,107
5,7,63,59,84,89
8,7,63,54,20,112
5,7,63,52,61,118
8,7,62,60,17,105
28,7,62,51,80,86
10,7,62,47,77,125
8,7,61,61,31,81
8,7,61,52,51,105
5,7,61,50,97,109
8,7,61,40,87,96
5,7,60,60,77,84
12,7,60,60,17,84
10,7,60,59,67,125
28,7,60,56,45,89
8,7,60,55,61,100
15,7,60,55,58,67
8,7,60,53,41,87
8,7,60,52,50,108
5,7,60,22,40,110
8,7,59,51,48,65
18,7,59,42,90,125
12,7,58,60,48,88
5,7,58,59,104,70
8,7,58,57,93,110
5,7,58,56,47,101
5,7,58,53,51,101
5,7,58,52,100,84
25,7,58,52,77,94
5,7,58,42,51,96
5,7,57,62,25,96
10,7,57,61,71,99
8,7,57,59,46,96
8,7,57,55,45,96
8,7,57,40,51,81
18,7,57,40,47,81
12,7,57,37,64,96
5,7,57,37,54,77
8,7,57,28,48,83
22,7,56,64,74,64
2,7,56,56,10,85
8,7,56,53,46,73
18,7,56,52,61,76
2,7,56,40,61,123
5,7,55,61,50,82
5,7,55,60,49,99
8,7,55,56,44,93
8,7,55,56,31,87
5,7,55,55,87,79
5,7,55,50,118,71
5,7,55,50,50,70
12,7,55,47,50,85
5,7,55,43,84,83
10,7,55,40,71,109
8,7,55,37,50,88
5,7,54,60,6,93
12,7,54,59,54,95
8,7,54,56,122,78
8,7,54,56,45,86
8,7,54,56,37,95
5,7,54,55,67,87
10,7,54,54,39,88
2,7,54,52,50,95
2,7,54,51,49,114
5,7,54,40,44,80
8,7,54,30,46,106
10,7,54,28,77,94
8,7,54,28,51,94
2,7,54,25,71,97
8,7,53,66,74,100
5,7,53,62,54,91
10,7,53,55,16,90
5,7,53,52,49,87
15,7,53,51,87,83
2,7,53,45,74,94
12,7,53,38,100,80
10,7,53,33,77,68
2,7,53,32,54,111
5,7,53,28,101,73
8,7,52,62,58,85
12,7,52,62,37,95
10,7,52,60,12,96
20,7,52,56,33,97
8,7,52,55,77,87
2,7,52,55,58,89
50,7,52,55,18,89
5,7,52,53,80,85
28,7,52,53,51,82
5,7,52,52,46,90
8,7,52,35,39,66
12,7,51,63,44,81
15,7,51,61,77,113
5,7,51,58,49,79
8,7,51,57,67,81
5,7,51,55,44,84
10,7,51,55,39,88
8,7,51,53,41,85
20,7,51,32,61,100
8,7,50,56,84,88
5,7,50,56,50,101
12,7,50,56,31,86
2,7,50,56,19,108
5,7,50,55,44,59
2,7,50,53,61,83
8,7,50,52,64,82
5,7,50,50,77,71
5,7,50,47,61,86
5,7,50,45,44,86
5,7,50,35,30,100
5,7,50,33,74,68
8,7,50,20,54,88
5,7,49,62,51,70
2,7,49,57,74,85
2,7,49,57,61,95
5,7,49,57,51,74
2,7,49,55,46,65
8,7,49,55,41,117
8,7,49,53,67,76
8,7,49,52,46,62
2,7,49,43,31,109
8,7,49,38,77,78
8,7,49,38,34,69
2,7,49,38,27,99
2,7,49,15,84,109
2,7,48,68,50,70
10,7,48,62,22,62
5,7,48,59,71,88
8,7,48,57,15,61
5,7,48,55,39,69
5,7,48,53,67,81
18,7,48,52,46,79
5,7,48,51,44,79
5,7,48,48,51,71
2,7,48,45,51,83
5,7,48,42,54,80
2,7,48,25,35,111
15,7,47,71,42,85
10,7,47,68,46,67
5,7,47,61,32,83
5,7,47,57,38,82
2,7,47,55,50,105
12,7,47,52,50,94
12,7,47,51,42,89
20,7,47,48,48,71
8,7,46,67,30,78
5,7,46,57,46,83
2,7,46,55,41,57
10,7,46,48,90,72
8,7,46,48,58,81
2,7,45,55,34,87
5,7,45,52,19,65
5,7,45,48,17,90
8,7,45,47,33,85
10,7,45,40,80,73
2,7,45,22,30,118
12,7,44,78,48,67
5,7,44,67,47,71
10,7,44,63,35,66
5,7,44,60,48,75
8,7,44,57,43,85
5,7,44,56,46,53
8,7,44,55,49,66
5,7,44,53,67,80
5,7,44,52,93,68
5,7,44,52,44,101
8,7,44,51,87,74
2,7,44,45,35,67
5,7,44,43,19,83
5,7,44,42,42,93
2,7,44,42,36,56
10,7,44,25,51,100
12,7,43,68,42,78
15,7,43,65,48,74
12,7,43,60,49,69
5,7,43,58,54,77
2,7,43,58,44,53
10,7,43,57,67,86
5,7,43,55,33,88
5,7,43,53,31,82
5,7,43,51,32,72
5,7,43,48,77,82
15,7,43,48,50,68
8,7,43,48,40,73
2,7,43,40,25,94
5,7,42,62,32,67
8,7,42,61,87,78
5,7,42,57,77,69
2,7,42,52,37,86
0,7,42,38,39,92
5,7,42,33,45,66
8,7,42,15,37,112
8,7,41,57,40,70
5,7,41,56,54,65
2,7,41,56,40,79
2,7,41,55,38,71
8,7,41,52,12,76
5,7,41,50,93,77
5,7,41,50,33,60
10,7,41,50,11,94
8,7,41,48,37,77
2,7,41,48,28,66
5,7,41,47,129,67
8,7,41,47,46,78
12,7,40,62,50,64
8,7,40,61,49,75
5,7,40,59,45,60
5,7,40,57,16,77
5,7,40,55,34,62
5,7,40,55,24,71
15,7,40,54,71,69
53,7,40,54,49,69
8,7,40,53,104,69
5,7,40,52,101,66
30,7,40,52,90,90
5,7,40,51,45,67
22,7,40,48,41,64
8,7,40,43,71,71
10,7,39,55,51,75
5,7,39,53,44,65
12,7,39,52,77,66
2,7,39,48,33,64
5,7,39,47,43,70
5,7,39,45,64,77
2,7,39,45,44,76
5,7,39,43,50,79
30,7,39,43,29,70
5,7,38,64,47,71
8,7,38,63,37,61
15,7,38,63,36,54
5,7,38,58,49,76
2,7,38,57,48,78
8,7,38,57,9,74
2,7,38,55,44,70
2,7,38,53,35,67
5,7,38,50,44,80
5,7,38,50,42,81
2,7,38,48,41,83
5,7,38,48,41,79
18,7,38,47,51,69
2,7,38,43,44,69
18,7,38,27,112,66
2,7,37,67,80,47
8,7,37,63,31,58
8,7,37,58,42,71
5,7,37,55,43,67
2,7,37,55,36,66
8,7,37,50,33,72
2,7,37,47,25,63
5,7,37,43,41,80
5,7,37,43,33,69
5,7,36,67,43,73
5,7,36,64,49,68
5,7,36,58,100,67
5,7,36,56,37,66
5,7,36,54,112,57
8,7,36,54,38,74
2,7,36,53,93,56
5,7,36,51,54,72
2,7,36,50,54,75
8,7,36,48,34,70
2,7,36,42,35,73
2,7,36,38,27,63
5,7,35,68,46,70
8,7,35,60,40,69
2,7,35,57,41,44
10,7,35,57,20,61
8,7,35,56,46,55
5,7,35,54,38,71
5,7,35,54,22,66
5,7,35,53,36,41
2,7,35,52,37,66
2,7,35,52,36,72
5,7,35,52,31,61
2,7,35,52,23,65
18,7,35,51,45,67
5,7,35,48,58,67
2,7,35,43,42,66
8,7,35,27,51,63
2,7,35,12,51,83
2,7,34,65,51,70
8,7,34,58,42,64
5,7,34,57,41,56
8,7,34,56,54,62
5,7,34,56,48,70
5,7,34,55,58,58
5,7,34,51,80,65
2,7,34,51,33,67
2,7,34,43,29,63
10,7,33,64,34,56
22,7,33,59,20,60
5,7,33,57,46,76
12,7,33,56,39,75
5,7,33,55,64,58
2,7,33,55,30,48
10,7,33,53,34,62
2,7,33,52,38,61
5,7,33,52,36,69
10,7,33,50,39,67
8,7,33,48,34,59
32,7,33,47,77,64
5,7,33,47,39,62
5,7,33,42,50,61
5,7,33,40,37,49
8,7,33,28,71,54
5,7,33,27,39,76
5,7,32,60,33,64
5,7,32,55,36,79
5,7,32,54,54,58
8,7,32,52,50,57
10,7,32,51,84,54
2,7,32,47,33,66
2,7,31,60,26,52
2,7,31,57,80,61
5,7,31,57,39,72
2,7,31,56,44,77
8,7,31,53,54,63
5,7,31,53,50,66
5,7,31,53,36,63
10,7,31,52,71,58
2,7,31,50,33,62
2,7,31,48,49,53
2,7,31,38,35,74
5,7,31,33,46,56
2,7,31,28,40,78
10,7,30,61,29,60
2,7,30,58,12,65
10,7,30,55,42,55
2,7,30,53,38,53
8,7,30,50,54,53
5,7,30,50,44,61
2,7,29,64,31,49
2,7,29,61,32,55
10,7,29,61,24,67
5,7,29,60,50,58
2,7,29,57,40,68
5,7,29,56,33,58
5,7,29,55,32,57
8,7,29,54,41,60
2,7,29,54,35,48
2,7,29,51,32,54
5,7,29,50,44,44
5,7,29,50,16,45
5,7,29,40,40,82
5,7,28,57,67,58
2,7,28,57,64,59
8,7,28,57,51,61
5,7,28,57,39,51
2,7,28,57,36,54
5,7,28,52,71,61
2,7,28,52,51,67
2,7,28,52,40,60
8,7,28,52,37,63
0,7,28,52,23,74
5,7,28,51,51,56
5,7,28,48,36,51
2,7,28,45,47,56
5,7,28,45,42,40
2,7,28,45,38,55
8,7,27,60,46,57
2,7,27,57,44,45
2,7,27,55,115,51
2,7,27,55,97,48
8,7,27,54,38,73
2,7,27,54,35,32
28,7,27,52,37,61
5,7,27,51,54,46
2,7,27,51,45,41
10,7,27,48,48,35
8,7,27,47,80,62
0,7,27,37,48,48
2,7,27,23,41,66
5,7,27,23,41,61
2,7,27,18,43,70
8,7,26,67,31,45
2,7,26,58,11,57
2,7,26,57,43,40
2,7,26,56,44,52
5,7,26,55,49,58
5,7,26,55,41,54
10,7,26,52,41,43
5,7,26,52,23,60
10,7,26,50,38,55
8,7,26,48,64,56
8,7,26,40,37,53
2,7,26,40,9,55
2,7,26,28,39,63
2,7,26,27,39,65
2,7,25,59,37,43
2,7,25,59,19,58
2,7,25,59,11,63
8,7,25,58,33,51
8,7,25,57,31,43
0,7,25,57,30,56
5,7,25,55,44,42
5,7,25,55,27,38
2,7,25,55,21,61
2,7,25,54,36,44
2,7,25,54,27,59
2,7,25,52,30,56
2,7,25,51,45,56
12,7,25,51,36,42
0,7,25,42,38,36
2,7,25,32,38,64
2,7,24,60,51,50
10,7,24,60,49,49
5,7,24,58,35,44
5,7,24,57,77,33
10,7,24,57,40,38
2,7,24,56,87,51
0,7,24,56,48,33
12,7,24,56,41,48
5,7,24,56,27,54
2,7,24,55,43,59
5,7,24,54,43,46
2,7,24,53,46,54
2,7,24,53,41,51
2,7,24,53,16,54
2,7,24,52,43,47
5,7,24,42,46,47
0,7,24,42,34,39
2,7,24,25,43,63
5,7,23,64,64,58
5,7,23,61,50,59
2,7,23,60,23,58
2,7,23,57,32,40
0,7,23,57,30,55
5,7,23,55,44,42
2,7,23,55,35,34
5,7,23,54,51,47
2,7,23,54,35,32
8,7,23,54,30,34
2,7,23,54,25,56
5,7,23,53,48,52
12,7,23,53,26,41
8,7,23,52,36,51
2,7,23,51,13,60
32,7,23,48,49,29
0,7,23,47,20,36
0,7,23,23,41,65
2,7,23,23,37,44
18,7,22,65,32,40
5,7,22,62,93,64
2,7,22,57,37,40
5,7,22,56,31,36
2,7,22,56,30,44
2,7,22,55,42,53
2,7,22,51,44,43
2,7,22,51,23,49
2,7,22,50,40,48
5,7,22,50,37,39
2,7,22,47,47,47
8,7,22,47,40,42
2,7,22,45,22,35
0,7,22,40,14,33
2,7,22,28,25,34
5,7,21,61,39,40
8,7,21,60,36,51
2,7,21,60,19,48
10,7,21,59,44,41
5,7,21,58,44,31
0,7,21,57,32,41
2,7,21,57,31,44
5,7,21,57,29,36
2,7,21,55,44,32
2,7,21,55,24,53
2,7,21,54,27,22
5,7,21,54,25,52
0,7,21,53,31,58
5,7,21,51,47,24
2,7,21,50,32,40
5,7,21,48,30,45
2,7,21,45,31,41
2,7,21,32,37,52
2,7,20,60,33,42
10,7,20,59,48,32
8,7,20,55,33,36
2,7,20,55,26,49
2,7,20,52,44,33
10,7,20,52,31,32
2,7,20,45,42,56
2,7,20,35,41,45
2,7,20,33,33,45
2,7,20,32,35,36
2,7,19,55,45,44
5,7,19,54,42,43
0,7,19,52,40,29
2,7,19,51,20,30
0,7,19,47,32,26
0,7,19,47,21,20
5,7,19,47,19,28
2,7,19,47,12,32
2,7,19,45,23,32
2,7,19,43,38,28
5,7,19,40,38,21
2,7,19,28,40,43
8,7,18,66,35,43
2,7,18,57,39,46
2,7,18,57,36,45
8,7,18,55,19,37
5,7,18,53,31,36
2,7,18,53,29,37
5,7,18,52,37,48
2,7,18,52,28,37
5,7,18,52,14,36
2,7,18,51,44,30
5,7,18,50,29,29
2,7,18,30,36,41
5,7,17,63,23,41
5,7,17,58,43,50
2,7,17,57,37,19
10,7,17,57,22,41
2,7,17,54,44,41
2,7,17,54,38,31
2,7,17,52,23,32
10,7,17,50,19,33
2,7,17,47,19,31
5,7,17,35,48,45
2,7,16,57,28,21
2,7,16,56,39,27
8,7,16,55,36,52
2,7,16,53,21,25
8,7,16,52,33,26
8,7,16,52,23,30
0,7,16,42,7,28
2,7,15,57,41,22
0,7,15,55,40,25
2,7,15,55,28,24
2,7,15,54,28,32
2,7,15,52,23,26
8,7,15,52,19,22
2,7,15,52,15,30
2,7,15,50,31,25
0,7,15,42,13,22
2,7,15,32,28,24
2,7,14,51,31,30
25,7,14,50,35,33
5,7,14,50,24,28
2,7,13,55,39,22
2,7,13,53,31,42
18,7,12,25,20,19
2,7,11,55,26,24
2,7,9,51,24,15
5,7,9,43,34,14
0,7,7,60,40,8
0,7,6,53,43,12
5,6,105,20,39,104
2,6,92,13,58,155
5,6,89,20,80,148
8,6,88,50,136,140
5,6,87,57,93,76
2,6,85,57,54,66
12,6,85,42,151,118
5,6,85,23,54,92
8,6,85,22,108,66
12,6,84,43,87,122
5,6,84,28,87,154
5,6,83,35,58,124
28,6,82,40,90,130
12,6,82,32,108,151
5,6,81,58,100,77
5,6,81,53,80,107
40,6,81,52,100,114
52,6,81,52,74,118
8,6,81,52,48,110
8,6,81,51,140,114
10,6,80,56,156,126
5,6,80,52,48,126
5,6,80,51,156,98
8,6,80,43,77,134
8,6,80,40,118,139
10,6,80,38,47,139
5,6,79,53,151,119
15,6,79,48,108,106
8,6,79,43,77,86
8,6,79,25,50,117
5,6,79,22,93,151
8,6,78,62,50,107
18,6,78,50,166,100
5,6,78,48,47,119
12,6,78,47,154,129
5,6,78,35,34,108
10,6,78,28,84,132
2,6,77,53,24,147
8,6,77,48,50,104
8,6,77,37,74,139
22,6,77,37,61,109
8,6,77,32,129,143
15,6,77,25,115,129
5,6,76,55,25,124
10,6,76,51,74,115
8,6,76,47,100,66
20,6,76,42,46,146
12,6,76,30,51,115
8,6,76,28,61,145
8,6,76,17,61,138
8,6,75,60,64,102
5,6,75,57,166,110
8,6,75,53,7,122
8,6,75,52,101,73
10,6,75,50,77,135
8,6,75,33,61,117
5,6,75,30,50,118
5,6,75,10,74,89
12,6,74,54,108,123
20,6,74,45,84,127
10,6,74,40,112,106
5,6,74,40,108,97
10,6,74,33,129,92
12,6,74,30,174,108
15,6,73,55,46,109
8,6,73,52,118,73
5,6,73,52,112,92
8,6,73,50,93,109
8,6,73,50,77,91
42,6,73,47,61,104
8,6,73,45,112,115
5,6,73,45,74,138
5,6,73,37,74,128
10,6,73,33,31,120
2,6,73,22,40,90
18,6,72,52,161,131
18,6,72,47,44,118
2,6,72,38,61,120
8,6,72,35,108,104
5,6,72,27,80,116
18,6,72,18,140,98
5,6,71,53,64,124
18,6,71,52,104,104
5,6,71,51,67,105
10,6,71,51,49,95
8,6,71,48,80,113
8,6,71,42,87,83
8,6,71,35,77,127
5,6,71,33,49,130
5,6,71,32,71,104
5,6,71,32,43,133
5,6,71,23,87,125
28,6,70,59,38,105
25,6,70,51,58,96
8,6,70,43,100,112
5,6,70,43,54,92
10,6,70,42,101,102
5,6,70,35,67,113
5,6,70,33,48,113
10,6,70,32,182,104
5,6,70,32,49,117
10,6,70,28,64,112
5,6,70,25,115,132
10,6,70,25,64,115
8,6,70,13,87,138
10,6,69,50,51,105
22,6,69,47,97,76
79,6,69,45,104,110
8,6,69,43,74,94
18,6,69,43,64,97
5,6,69,38,93,101
8,6,69,33,61,105
5,6,69,30,166,68
2,6,69,25,49,109
2,6,69,25,41,91
2,6,69,22,87,129
