pH,Cond,Turb,SS,class
7.95,401,550,535,0
8.08,2570,180,364,1
8.1,274,220,349,0
8.22,392,400,275,0
7.23,3020,210,275,1
7.23,3020,210,275,1
7.96,490,100,221,0
8.86,1490,110,128,1
9.1,472,39,116,1
9.6,1830,110,111,1
8.54,502,120,110,1
7.8,334,170,109,0
7.88,186,170,106,1
7.8,190,140,106,1
9.65,558,32,99,1
9.27,1590,100,98,1
8.5,439,110,96.2,0
8.62,455,150,94.3,1
7.92,385,180,93.3,1
8.84,423,110,91.3,1
8.1,272,85,89.4,0
8.02,1730,75,89,1
8.3,468,110,87.3,0
7.79,267,85,87,0
8.34,1230,80,83.5,1
8.7,481,130,83.3,1
7.66,240,80,81.8,0
7.9,331,150,81.6,0
8.66,448,60,80.1,1
7.4,751,50,79,1
8.2,622,70,78.2,0
9.02,1470,80,77.5,1
9.02,1470,80,77.5,1
7.82,197,160,77,0
8.98,818,80,77,1
8.04,420,110,76.7,1
7.9,824,75,72.5,1
8.4,458,100,72.4,0
8.98,1540,100,71.5,1
7.77,303,140,71.3,0
8.76,1200,60,69.5,1
8.6,2120,110,69,1
9.24,1500,75,68.5,1
9.4,1670,55,68,1
7.58,922,31,67.5,1
8.09,413,85,67.4,1
8.86,1570,110,67.3,1
9.45,2440,60,66.8,1
9.7,1200,65,66.2,1
10.28,480,100,66,1
8.4,460,85,66,0
9.32,1520,75,65.5,1
9.6,2280,60,65.2,1
7.8,307,130,64.2,0
7.8,198,120,63.7,0
8.9,459,55,63.5,1
9.82,634,80,61.2,1
7.82,162,90,60.8,0
7.82,162,90,60.8,0
8.86,1360,45,60.3,1
8.2,595,40,60,1
8.78,1230,75,59,1
9.09,690,60,58.6,1
7.88,158,100,57.6,0
7.88,158,100,57.6,0
8.5,437,50,57.4,0
7.99,404,85,56.8,1
8.54,462,65,55.8,0
8.31,464,55,55.4,0
8.8,1010,55,55.2,1
8.4,521,55,55,0
8.28,361,85,54.7,0
8.28,556,40,54.5,0
8.44,476,60,54.2,0
8.2,372,85,53.8,0
9.46,1750,70,53.5,1
8.96,2730,50,53.5,1
8.1,620,19,53.5,1
8.26,1060,38,52.8,1
8.26,1060,38,52.8,1
7.94,159,100,52.4,0
7.94,159,100,52.4,0
7.89,159,100,51.5,0
7.89,159,100,51.5,0
9.06,5750,45,51.3,1
9.06,5750,45,51.3,1
9.12,496,65,51,1
9.12,496,65,51,1
7.83,164,95,50.5,0
7.83,164,95,50.5,0
8.2,628,45,50.5,0
7.92,162,100,49.8,0
7.92,162,100,49.8,0
9.1,229,28,49.3,1
8.4,461,60,49.2,0
7.94,593,26,49,1
9.07,1100,45,48.5,1
8.5,549,20,48.4,1
8.03,926,40,48.2,1
7.5,737,26,47.2,1
7.8,343,45,46.6,0
8.06,816,45,46.5,1
8.3,648,55,46.1,1
8.02,367,55,46,0
9,886,45,46,1
8.32,357,95,45.7,0
8.62,669,55,45.7,1
9.3,1290,45,45.5,1
8.36,525,45,45.2,0
8.24,233,50,45.1,0
8.2,548,45,45,0
8.07,408,45,45,0
8.68,414,39,44,1
8.68,414,39,44,1
8.06,665,39,43.8,1
8.28,261,34,43.6,0
9,1190,50,43.5,0
8.76,449,40,43.5,1
7.53,288,65,43.3,0
8.4,527,45,42.7,0
7.66,281,50,42.2,0
8.38,557,23,42.1,1
8.46,1010,45,42,1
8.9,1410,35,42,1
8.01,240,75,41.8,0
9.53,670,21,41.6,1
9.05,658,60,41.5,1
8.54,972,40,41.2,1
8.26,172,70,41.1,0
8.41,1960,40,41,1
8.2,307,40,41,0
9,1470,39,41,1
8.31,571,35,41,1
8.31,571,35,41,1
8.36,712,28,41,1
7.6,248,36,40.9,0
9.18,905,50,40.8,1
8.37,582,38,40.7,1
9.01,1390,28,40.5,1
9.01,1390,28,40.5,1
8.25,219,65,40.4,0
8.58,4670,28,40,0
8.22,173,70,39.8,0
8.58,1510,15,39.7,0
8.4,467,50,39.6,0
7.92,353,45,39.5,0
8.5,478,50,39.4,1
8.28,560,25,39.2,1
8.47,304,40,39.1,0
8.1,375,60,39,0
7.5,390,45,39,1
8.15,404,40,39,0
8.81,1440,23,39,1
8.46,3110,40,38.8,1
8.46,3110,40,38.8,1
8.93,1430,24,38.7,1
8.14,354,45,38.6,1
8.64,906,31,38.5,1
8.4,1120,45,38,1
8.96,544,38,38,1
9.33,377,55,37.8,1
9.75,438,38,37,0
8.46,768,22,36.8,1
8.7,459,31,36.5,0
8.4,473,55,36.4,0
8.4,536,36,36.4,0
8.48,480,40,36.2,1
8.88,598,45,36,1
9.24,491,32,36,0
9,1070,35,35.8,1
8.3,583,32,35.5,1
8.62,434,31,35.5,1
9,1980,22,35.5,0
9,1390,19,35.5,0
8.58,1070,29,35.2,1
8.58,1070,29,35.2,1
8.37,178,60,35.1,0
8.72,460,40,35,1
8.72,460,40,35,1
8.32,372,38,35,0
8.2,462,33,35,1
8.2,723,24,34.9,0
9.4,972,31,34.8,0
8.28,188,60,34.6,0
9.4,1110,32,34.5,1
9.18,510,36,34.2,1
9.18,510,36,34.2,1
7.82,250,36,34.1,0
8.3,216,65,34,1
9.38,430,38,34,0
9.2,423,33,34,1
7.62,246,31,34,0
8.47,517,35,33.9,0
7.86,589,14,33.6,0
9.02,488,33,33.5,1
9.02,488,33,33.5,1
7.68,348,24,33.2,0
8.7,1470,19,33,0
8.12,1480,38,32.8,1
8.62,518,35,32.8,1
8.81,464,29,32.8,1
8.77,550,40,32.6,1
8.2,554,25,32.6,1
9.17,1240,20,32.6,0
9.17,1240,20,32.6,0
8.52,638,16,32.6,1
8.52,638,16,32.6,1
8.9,1590,16,32.5,0
8.6,549,14,32.4,1
9.63,374,37,32.2,1
8.48,1040,34,32.2,1
8.48,1040,34,32.2,1
8.32,177,55,31.7,0
8.38,183,55,31.5,0
8.61,1210,28,31.5,1
8.57,490,19,31.5,1
9.1,1260,16,31.5,0
8.4,703,12,31.5,1
7.78,618,25,31.4,1
8.8,1300,16,31.4,1
8.2,577,50,31.1,0
8.7,1420,16,31,0
8.3,460,33,30.9,0
8.3,460,33,30.9,0
9.44,462,32,30.5,1
9.44,462,32,30.5,1
8.78,474,22,30.4,1
7.96,326,37,30.2,0
8.7,658,32,30.2,1
8.6,1750,17,30.2,0
8.18,336,26,29.9,0
8.18,336,26,29.9,0
7.9,662,23,29.8,1
8.23,568,16,29.8,1
8.23,568,16,29.8,1
7.87,414,30,29.6,1
9.05,534,19,29.6,1
9.35,451,31,29.5,1
9.3,496,15,29.5,1
8.86,248,34,29.4,0
9.88,401,38,29.2,0
7.94,326,36,29.2,0
8.12,230,39,29,0
8.68,399,26,28.8,1
8.8,1540,10,28.7,0
9.4,500,36,28.5,1
8.34,694,17,28.5,1
8.9,450,17,28.5,1
8.45,387,32,28.3,1
8.45,387,32,28.3,1
8.35,519,31,28.2,0
9.13,584,27,28.2,1
9,595,18,28.2,1
8.62,636,17,28.2,1
8.62,636,17,28.2,1
7.97,284,34,28.1,0
8.3,253,31,28,0
8.08,638,28,28,1
8.08,638,28,28,1
7.6,566,27,28,0
8.8,523,26,28,1
8.92,393,26,27.8,1
8.98,1270,15,27.8,0
9.59,578,13,27.8,1
8.1,460,11,27.8,0
7.9,1100,34,27.7,0
9.12,373,30,27.7,1
7.66,916,23,27.7,1
7.78,714,22,27.7,1
8.12,225,37,27.6,0
7.49,336,19,27.5,1
7.35,143,45,27.3,0
7.99,590,20,27.3,0
8,311,45,27.2,0
9.7,637,27,27.2,1
8.84,1510,23,27.2,0
7.8,655,18,27.2,1
8.25,808,9.8,27.2,0
7.94,435,16,27.1,1
9.13,436,38,27,1
8.98,661,30,27,0
8.3,364,15,26.9,1
7.7,230,38,26.8,0
9.39,1050,34,26.8,1
8,567,29,26.8,0
9.06,1050,24,26.8,1
9.06,1050,24,26.8,1
8.15,705,24,26.8,1
9.56,448,45,26.7,1
8.58,1680,20,26.7,0
8.46,513,30,26.6,0
8.95,732,29,26.6,1
8.5,1350,19,26.6,0
9.34,570,5.8,26.6,0
8.8,976,36,26.5,1
8.33,534,29,26.5,1
8.97,425,27,26.5,1
8,1070,26,26.5,1
8.93,383,26,26.5,1
8.93,383,26,26.5,1
8,363,26,26.5,0
8.9,1130,25,26.5,1
8,506,23,26.5,1
8.36,774,32,26.4,1
9.1,782,16,26.2,1
9.07,537,16,26.2,1
8.8,664,27,26.1,0
8.95,408,27,26,1
9.04,1490,21,26,1
8.95,1200,18,26,1
8.97,7070,16,26,0
8.97,7070,16,26,0
8.16,706,16,26,1
8.51,466,19,25.9,1
8.54,461,26,25.8,1
9.1,1100,14,25.8,0
7.98,420,34,25.7,0
7.7,1100,21,25.6,1
8.94,408,30,25.5,1
8.6,352,26,25.5,1
8.6,879,16,25.5,1
8.96,360,22,25.3,1
9.09,587,27,25.2,1
8.7,466,26,25.2,1
8.42,465,25,25.2,1
8.89,1180,12,25.2,0
8.89,1180,12,25.2,0
8.53,2340,26,25.1,0
8.62,254,22,25.1,0
8.62,254,22,25.1,0
8.93,506,36,25,1
8.34,1350,30,25,1
8.1,505,29,25,0
8.74,884,27,25,1
8.9,1660,22,25,1
8.7,1790,90,24.8,1
8.27,479,27,24.8,1
9.13,581,25,24.8,1
7.8,1300,22,24.8,1
8.6,975,20,24.8,0
8.15,621,20,24.8,0
7.9,328,19,24.6,0
8.4,503,26,24.4,0
8.92,437,19,24.4,1
8.7,531,16,24.4,1
9.9,3110,12,24.4,1
8.8,462,21,24.3,0
8.58,413,18,24.1,1
8.57,584,21,24,1
8.98,1280,17,24,0
9.6,739,14,24,1
8.71,1160,11,24,0
8.71,1160,11,24,0
7.62,725,5.3,24,0
8.09,290,24,23.9,0
8.5,465,27,23.8,0
8.77,506,24,23.8,0
9.14,251,24,23.8,0
8.9,1160,23,23.8,1
8,504,22,23.8,1
9.1,438,22,23.8,0
8.3,663,15,23.8,1
8.9,1640,14,23.8,0
7.87,1130,13,23.8,1
8.48,472,28,23.7,0
8.96,468,25,23.7,1
8.1,430,22,23.7,1
9.04,569,17,23.7,0
7.53,238,28,23.6,0
8.98,1280,19,23.6,0
8.98,1280,19,23.6,0
8.4,1630,3.1,23.6,0
8.2,583,40,23.5,0
8.42,463,29,23.5,0
8.33,449,22,23.5,1
7.78,824,15,23.5,1
8.62,232,36,23.4,0
8.25,377,27,23.4,0
8.11,593,15,23.4,1
9.09,307,4.1,23.4,0
8.08,407,26,23.3,0
9.34,964,23,23.3,1
7.8,732,15,23.2,1
8.11,727,14,23.2,1
8.8,698,13,23.2,0
8.14,638,22,23.1,0
8.43,553,18,23.1,1
9.83,1270,34,23,0
7.68,343,26,23,0
8.48,751,25,23,1
8.54,690,22,23,0
8.64,1180,20,23,0
8.59,610,8.9,23,1
9.1,470,22,22.8,1
9.15,267,18,22.8,1
9.15,267,18,22.8,1
9.74,558,15,22.8,0
8.4,463,13,22.8,1
8.26,200,70,22.7,0
8.26,200,70,22.7,0
8.94,442,26,22.7,1
8.3,434,20,22.7,1
9.65,446,15,22.7,1
8.52,726,13,22.7,1
8.08,294,4.8,22.6,0
8.86,232,34,22.5,0
9.02,498,31,22.5,0
7.84,758,17,22.5,1
8.81,480,22,22.4,0
8.28,724,16,22.4,1
8.69,650,13,22.4,1
8.62,381,29,22.3,1
8.9,624,11,22.3,1
9.14,940,33,22.2,1
8.2,296,20,22.2,0
8.12,652,19,22.2,0
8.3,626,14,22.2,1
8.21,698,7.1,22.1,1
9.6,535,45,22,1
8.19,226,30,22,0
8.93,705,24,22,0
8.9,266,20,22,0
9.6,861,15,22,1
8.3,462,14,22,1
7.8,645,13,22,1
7.85,740,12,22,1
8.12,532,11,22,0
8.12,532,11,22,0
8.69,4080,10,22,0
7.48,148,40,21.9,0
7.96,580,16,21.9,1
7.88,420,15,21.9,0
8.3,364,26,21.8,0
8.07,670,20,21.8,1
9.06,628,13,21.8,1
8.7,1570,9.2,21.8,0
8.6,464,22,21.7,1
8.62,282,24,21.6,0
8.18,612,21,21.5,0
8.8,440,17,21.5,1
9.2,458,12,21.5,1
7.84,738,11,21.5,1
8.4,410,21,21.4,0
8.3,337,19,21.4,0
8.3,337,19,21.4,0
8.21,593,14,21.4,1
8.16,508,13,21.4,0
8.16,508,13,21.4,0
8.51,519,35,21.3,1
8.18,274,26,21.3,0
7.94,628,19,21.3,1
8.12,701,17,21.3,1
7.7,560,11,21.3,1
8.76,577,22,21.2,0
9.05,4090,20,21.2,1
7.97,421,19,21.2,1
8.26,698,16,21.2,1
8.26,698,16,21.2,1
8.96,1620,15,21.2,0
9.1,867,15,21.2,0
9.1,1430,10,21.2,0
9.1,253,25,21.1,1
8.92,475,23,21.1,0
8.36,503,20,21.1,0
8.36,287,18,21.1,0
9.16,620,13,21.1,1
8.54,399,28,21,0
8.92,410,26,21,1
8.92,410,26,21,1
8.9,601,21,21,1
8.48,1020,17,21,1
7.9,776,16,21,1
7.7,651,16,21,1
8.4,723,15,21,1
9.1,749,13,21,1
9.15,586,27,20.9,1
8.87,800,19,20.9,1
8.53,468,16,20.9,1
8.97,498,15,20.8,1
8.46,530,18,20.7,1
8.46,530,18,20.7,1
8.14,582,17,20.7,1
8.3,284,24,20.6,0
8.4,502,22,20.6,0
8.12,440,20,20.6,0
7.8,1100,14,20.6,1
7.6,560,10,20.6,1
9.28,229,20,20.5,1
9.38,401,19,20.5,1
8.7,1520,14,20.5,0
8.62,144,30,20.4,0
9.19,226,21,20.4,1
7.73,668,16,20.4,1
8.11,432,13,20.4,0
8.62,1780,11,20.4,0
8.46,714,8.7,20.4,1
8.27,394,20,20.3,0
9.2,604,15,20.3,1
8.14,704,8.4,20.3,1
8.9,1310,29,20.2,1
8,654,16,20.2,0
8.38,448,15,20.2,1
8.06,651,13,20.2,0
9.84,538,13,20.2,1
9,363,12,20.2,1
8.8,1760,8.7,20.2,0
9.11,828,7.1,20.2,0
7.9,625,11,20.1,1
8.3,254,25,20,0
8.39,502,20,20,0
8.21,430,20,20,0
8.21,430,20,20,0
8.08,557,15,20,1
8.28,582,12,20,1
8.28,582,12,20,1
9.54,424,12,20,1
8.6,648,6.4,20,0
8.9,1280,5.2,20,0
8.58,352,40,19.9,0
8.3,395,18,19.9,0
9.02,606,15,19.9,1
8.47,679,14,19.9,1
8.47,679,14,19.9,1
7.86,434,14,19.9,1
7.56,670,11,19.9,1
9.24,440,39,19.8,1
8.2,1010,27,19.8,0
7.06,392,26,19.8,1
8.02,418,25,19.8,0
9.16,1160,14,19.8,0
8.74,514,13,19.8,1
8.83,1000,8,19.8,0
8.83,943,16,19.7,1
7.5,677,16,19.7,1
8.9,432,15,19.7,1
7.54,672,12,19.7,1
7.98,294,18,19.6,0
7.64,917,17,19.6,1
8.6,791,30,19.5,0
9.47,603,18,19.5,0
8.91,361,16,19.5,0
8.74,654,9.4,19.5,0
8.34,315,23,19.4,0
8.96,496,22,19.4,1
8.4,463,19,19.4,0
8.3,305,19,19.4,0
8.02,446,18,19.4,1
8.2,551,6.5,19.4,0
9.46,466,18,19.3,0
9.62,555,17,19.3,1
9.36,271,3.1,19.3,0
10,366,23,19.2,1
7.35,285,22,19.2,0
7.86,386,21,19.2,1
8.34,605,16,19.2,1
7.6,682,14,19.2,1
8.42,504,13,19.2,1
8.42,504,13,19.2,1
8.64,445,13,19.2,1
8.72,617,12,19.2,0
7.8,680,11,19.2,1
8.36,448,20,19.1,0
7.92,1070,9.1,19.1,1
9.68,444,29,19,1
9.02,819,26,19,1
8.5,188,24,19,0
8.09,649,19,19,0
8.58,397,19,19,1
8.58,397,19,19,1
8.02,731,13,19,1
7.89,611,13,19,1
7.66,1090,12,19,1
9.4,600,8.9,19,1
7.71,418,20,18.9,0
8.4,351,18,18.9,0
8.1,499,17,18.9,0
8.22,584,14,18.9,1
7.93,533,20,18.8,0
7.5,391,20,18.8,1
8.7,520,19,18.8,1
8.2,326,19,18.8,0
7.6,684,15,18.8,1
8.7,568,15,18.8,1
8.3,626,13,18.8,1
8.26,444,10,18.8,0
8.26,444,10,18.8,0
8.86,836,6.2,18.8,0
8.46,219,23,18.7,0
7.94,860,17,18.7,1
7.94,593,15,18.7,1
7.94,593,15,18.7,1
7.82,749,14,18.7,1
8.72,515,13,18.7,1
8.75,1350,10,18.7,0
8.58,451,15,18.6,1
8.85,388,14,18.6,0
8.51,347,40,18.5,0
8.37,244,28,18.5,0
7.96,442,20,18.5,1
7.96,442,20,18.5,1
8.2,315,19,18.5,0
8.93,567,18,18.5,0
8.6,445,18,18.5,1
8.59,434,14,18.5,1
8.59,2460,12,18.5,0
8.14,643,12,18.5,0
8.63,1290,11,18.5,1
8.72,651,11,18.5,1
9.7,448,9.2,18.5,0
8.36,225,24,18.4,0
8.36,287,19,18.4,0
8.78,838,17,18.4,0
8.82,1170,14,18.4,0
8.47,866,12,18.4,1
8.86,500,11,18.4,1
8.98,281,9.1,18.4,0
9.2,232,4.7,18.4,1
8.68,320,2.7,18.4,0
10,350,19,18.3,0
8.22,318,19,18.3,0
9.1,500,18,18.3,1
8.04,375,18,18.3,0
8.04,375,18,18.3,0
9.54,457,17,18.3,1
8.39,442,16,18.3,1
9,637,15,18.3,1
8.06,466,14,18.3,0
8.06,466,14,18.3,0
8.52,400,23,18.2,0
8.44,470,21,18.2,0
7.4,605,17,18.2,0
8.1,432,15,18.2,1
7.34,1300,14,18.2,0
7.34,1300,14,18.2,0
8.38,612,10,18.2,0
7.9,720,8.6,18.2,1
8.66,5060,18,18.1,0
8.8,3100,16,18.1,1
7.76,590,14,18.1,1
8.56,353,29,18,0
8.4,389,24,18,0
8.27,438,18,18,0
8.27,438,18,18,0
9.51,421,14,18,0
8,743,13,18,1
8.87,503,12,18,1
8.16,591,9.7,18,0
8.9,483,21,17.9,0
8.54,449,18,17.9,0
8.47,466,16,17.9,1
8.27,571,14,17.9,1
8.27,571,14,17.9,1
7.66,752,13,17.9,1
8.73,471,13,17.9,1
8.65,438,13,17.9,0
8.82,374,13,17.9,1
9.4,388,33,17.8,0
8.07,656,23,17.8,0
9.4,483,16,17.8,0
8.31,588,15,17.8,1
8.31,588,15,17.8,1
9.4,889,12,17.8,1
7.57,692,11,17.8,1
7.97,636,11,17.8,1
8.52,734,10,17.8,1
9.14,229,10,17.8,0
8.3,1050,7.8,17.8,0
8.81,2580,6.8,17.8,0
9.16,494,5,17.8,0
9.5,518,29,17.7,1
9.5,518,29,17.7,1
8.13,653,17,17.7,0
8.24,629,13,17.7,0
9.1,676,12,17.7,1
9.09,622,26,17.6,1
7.8,374,23,17.6,0
8,447,15,17.6,0
8.8,439,15,17.6,1
8.9,1420,11,17.6,0
7.95,626,11,17.6,1
8.12,397,26,17.5,0
8.9,470,21,17.5,0
8.02,614,14,17.5,0
8.02,614,14,17.5,0
8.39,640,13,17.5,0
8.8,442,12,17.5,1
8.9,5070,11,17.5,0
8.21,677,11,17.5,0
8.76,646,9.9,17.5,1
8.71,1260,9.4,17.5,0
9.48,630,9.4,17.5,0
7.2,251,22,17.4,0
8.52,646,21,17.4,1
8.88,266,18,17.4,0
8.08,342,17,17.4,0
7.5,574,15,17.4,1
8.36,462,15,17.4,1
8.9,1310,8.3,17.4,0
7.9,622,21,17.3,0
9.11,452,19,17.3,1
9.07,256,17,17.3,0
7.69,710,15,17.3,1
8.27,570,15,17.3,0
7.81,672,13,17.3,0
9.92,419,13,17.3,0
8.28,739,5.9,17.3,1
9.06,1140,23,17.2,1
7.8,351,20,17.2,0
8.56,336,18,17.2,0
9.53,2190,14,17.2,0
8.89,851,14,17.2,1
8.89,851,14,17.2,1
7.5,557,11,17.2,1
8.47,401,11,17.2,0
8.8,3690,9.9,17.2,0
8.48,524,9.3,17.2,0
8.32,578,23,17.1,1
8.32,578,23,17.1,1
7.94,712,19,17.1,1
8.4,500,16,17.1,0
8.98,1100,12,17.1,0
8.6,580,21,17,1
9.22,7250,20,17,0
8.25,326,17,17,0
8.63,272,16,17,0
7.9,514,13,17,1
8.78,1330,11,17,0
8.81,882,9.2,17,0
8.81,882,9.2,17,0
8.77,490,5.3,17,1
8.99,236,38,16.9,0
9.04,399,23,16.9,1
8.2,469,20,16.9,0
8.2,472,16,16.9,0
8.57,402,16,16.9,0
9.06,874,15,16.9,0
9.2,560,15,16.9,0
8.13,534,18,16.8,0
9.08,1260,17,16.8,0
10.1,357,16,16.8,1
8.26,428,15,16.8,0
8.36,560,12,16.8,1
7.7,405,12,16.8,0
8.6,1830,10,16.8,0
7.94,558,10,16.8,0
7.28,478,8.6,16.8,0
8.76,315,8.3,16.8,0
8.33,493,7.4,16.8,1
8.96,1090,6.5,16.8,0
8.38,402,22,16.7,0
8.1,475,15,16.7,0
7.77,611,14,16.7,1
8.29,475,14,16.7,0
8.8,504,13,16.7,1
8.16,594,12,16.7,1
8.82,2870,9.7,16.7,0
8.36,220,23,16.6,0
8.2,470,19,16.6,0
8.86,1440,15,16.6,0
8.87,1430,12,16.6,0
8.8,1880,5.1,16.6,0
9.04,1330,33,16.5,1
9.04,1330,33,16.5,1
7.98,450,18,16.5,1
7.4,471,16,16.5,0
8.5,434,16,16.5,0
9.09,5160,15,16.5,0
8.1,630,15,16.5,0
8,581,15,16.5,1
8.58,522,15,16.5,0
9.1,513,15,16.5,1
9.4,464,15,16.5,0
8.37,314,15,16.5,0
8.9,1070,12,16.5,0
8.58,742,9.8,16.5,1
8.27,433,15,16.4,0
8.59,434,14,16.4,1
7.9,559,12,16.4,1
8.98,226,5.5,16.4,0
8.24,586,17,16.3,0
8.23,264,17,16.3,0
9.01,229,17,16.3,0
10.7,414,16,16.3,1
8.3,466,15,16.3,0
8.8,938,11,16.3,0
8.77,1090,6.5,16.3,0
8.77,1090,6.5,16.3,0
8.7,1470,4.8,16.3,0
7.7,420,19,16.2,0
7.8,437,18,16.2,0
8.38,554,17,16.2,0
8.22,438,17,16.2,0
8.74,356,17,16.2,0
8.56,585,16,16.2,1
8.12,445,16,16.2,0
7.9,384,16,16.2,0
7.6,688,15,16.2,1
7.71,821,14,16.2,1
8.6,496,13,16.2,1
8.7,648,12,16.2,1
8.7,694,11,16.2,1
8.81,1320,9.2,16.2,0
8.3,397,22,16.1,0
10.9,378,16,16.1,1
7.74,822,12,16.1,1
7.56,798,9,16.1,1
8.16,164,70,16,0
8.16,164,70,16,0
8.74,670,21,16,1
9,1130,19,16,0
8.26,235,17,16,0
8.9,692,16,16,1
8.14,651,16,16,0
9.1,239,16,16,0
8.82,1220,15,16,0
8.83,592,14,16,1
7.88,442,12,16,0
8.43,487,11,16,1
8.43,487,11,16,1
9.16,340,11,16,1
8.28,703,9.9,16,1
7.9,961,23,15.9,0
8.2,614,19,15.9,0
7.4,615,18,15.9,0
8.1,623,16,15.9,0
8.52,283,15,15.9,0
8.86,1150,14,15.9,1
9.2,808,20,15.8,1
9,553,16,15.8,0
8.83,1270,15,15.8,0
8.84,1250,15,15.8,0
9.56,2510,13,15.8,0
7.86,618,13,15.8,1
8,581,13,15.8,1
8,1710,12,15.8,0
9.04,1010,12,15.8,0
8.6,1260,11,15.8,0
9.3,303,9.4,15.8,0
7.9,665,15,15.7,1
9.36,232,15,15.7,0
7.5,443,14,15.7,1
8.51,407,12,15.7,0
7.79,690,11,15.7,1
8.41,529,11,15.7,1
8.41,529,11,15.7,1
8.21,532,8,15.7,0
8.8,4920,4.7,15.7,0
8.99,772,18,15.6,1
8.98,361,17,15.6,0
8.38,373,16,15.6,0
8,378,15,15.6,0
8.2,511,13,15.6,0
8.3,743,11,15.6,1
7.92,340,9.9,15.6,0
9.03,1310,9.5,15.6,0
8.08,504,8.6,15.6,1
7.58,1100,18,15.5,1
7.72,645,18,15.5,0
9.31,402,14,15.5,1
8.3,716,9.8,15.5,0
7.8,877,8.6,15.5,0
8.74,7750,4.5,15.5,0
7.6,577,15,15.4,0
8.8,375,15,15.4,0
9.4,365,15,15.4,1
7.83,584,14,15.4,1
7.83,584,14,15.4,1
8.06,603,11,15.4,1
8.11,476,11,15.4,1
8.1,272,23,15.3,0
8.2,270,21,15.3,0
8,442,18,15.3,1
8.78,410,16,15.3,1
7.5,547,15,15.3,0
8.72,1250,11,15.3,0
8.94,378,11,15.3,1
8.7,563,9.5,15.3,1
8.29,382,8.5,15.3,1
8.2,648,7,15.3,0
8.2,272,22,15.2,0
9.1,488,21,15.2,1
8.81,487,21,15.2,1
8.51,584,20,15.2,1
8.48,395,16,15.2,0
8,821,15,15.2,0
8.2,518,15,15.2,0
9.1,384,15,15.2,0
8.8,381,15,15.2,0
8.58,429,13,15.2,0
8.52,1010,12,15.2,1
7.65,913,12,15.2,1
9.3,902,12,15.2,0
9.12,436,12,15.2,0
8.74,434,12,15.2,1
8.9,5690,11,15.2,0
7.6,594,11,15.2,1
9.2,223,14,15.1,0
9.2,480,13,15.1,0
8,427,13,15.1,1
8.8,676,12,15.1,0
8.43,397,10,15.1,0
8.13,619,15,15,0
7.84,459,15,15,0
7.84,459,15,15,0
9.5,633,14,15,0
9.36,562,12,15,0
9.28,232,12,15,0
8.72,293,10,15,0
7.27,392,8.2,15,0
9.4,814,7.1,15,0
9.2,349,6.6,15,0
8.3,309,18,14.9,0
8,588,14,14.9,0
9.3,258,11,14.9,0
7.8,1130,6.5,14.9,1
8.84,516,33,14.8,1
9.2,391,23,14.8,1
8.3,387,20,14.8,0
8.9,1040,16,14.8,1
8.89,588,15,14.8,1
8.68,1440,14,14.8,0
8.8,514,14,14.8,1
8.04,599,13,14.8,1
8.34,554,13,14.8,0
8.89,1190,12,14.8,0
8.89,1190,12,14.8,0
8.22,652,11,14.8,1
8.1,552,11,14.8,1
7.98,630,10,14.8,1
7.98,630,10,14.8,1
7.92,628,10,14.8,1
7.89,628,10,14.8,1
7.7,595,9,14.8,1
8.9,513,7.1,14.8,1
8.03,651,14,14.7,0
8.19,516,14,14.7,0
9.17,532,13,14.7,0
8.27,461,12,14.7,0
8.27,461,12,14.7,0
8.52,434,12,14.7,0
8.24,633,9,14.7,1
8.24,633,9,14.7,1
9.02,562,8.3,14.7,0
9.8,585,6.7,14.7,0
8.9,521,5.8,14.7,0
8.08,583,16,14.6,0
7.6,386,15,14.6,1
9.09,358,14,14.6,0
7.96,608,12,14.6,0
8.94,893,10,14.6,0
8.62,528,8.3,14.6,1
8.84,547,7,14.6,0
8.6,1450,6.7,14.6,0
8.1,646,6.1,14.6,0
8.7,1090,5.2,14.6,0
8.64,574,15,14.5,1
7.8,397,14,14.5,1
8.6,462,12,14.5,1
8.9,657,11,14.5,0
7.69,649,9,14.5,0
8.55,812,7.6,14.5,0
9.07,656,4.9,14.5,0
9.8,98,4.3,14.5,0
8.4,439,20,14.4,0
8.22,427,19,14.4,0
9.09,372,16,14.4,1
9.1,256,16,14.4,0
8.2,613,15,14.4,0
7.92,624,12,14.4,1
8.03,629,9.6,14.4,1
8.03,629,9.6,14.4,1
8.23,598,9.4,14.4,0
8.43,498,5.8,14.4,0
8.02,294,15,14.3,0
8.94,610,14,14.3,1
8.34,398,14,14.3,0
8.32,462,11,14.3,1
7.73,852,10,14.3,1
8.7,421,10,14.3,1
7.6,785,9.6,14.3,1
7.62,698,7.9,14.3,1
8.6,552,5.6,14.3,0
8.36,674,5.5,14.3,0
7.92,287,17,14.2,0
8.4,479,16,14.2,0
7.8,280,16,14.2,0
9.21,237,14,14.2,0
9.5,553,13,14.2,0
8.8,436,11,14.2,1
8.55,259,11,14.2,0
9.33,239,11,14.2,0
9.6,624,8.6,14.2,0
9.8,505,8.1,14.2,1
8.3,7980,7.8,14.2,0
8.86,394,6.7,14.2,0
8.1,546,2.5,14.2,0
8.31,428,26,14.1,1
8.56,576,14,14.1,1
8.53,531,14,14.1,1
8.53,531,14,14.1,1
9.1,543,9.8,14.1,1
8.8,1080,18,14,1
8.65,521,14,14,0
